"name","unicode","bytes","emojiid","emoji","rencoding"
"sagittarius","U+2650","\xE2\x99\x90",219,"♐","<e2><99><90>"
"capricorn","U+2651","\xE2\x99\x91",220,"♑","<e2><99><91>"
"aquarius","U+2652","\xE2\x99\x92",221,"♒","<e2><99><92>"
"pisces","U+2653","\xE2\x99\x93",222,"♓","<e2><99><93>"
"black spade suit","U+2660","\xE2\x99\xA0",223,"♠","<e2><99><a0>"
"black club suit","U+2663","\xE2\x99\xA3",224,"♣","<e2><99><a3>"
"black heart suit","U+2665","\xE2\x99\xA5",225,"♥","<e2><99><a5>"
"black diamond suit","U+2666","\xE2\x99\xA6",226,"♦","<e2><99><a6>"
"hot springs","U+2668","\xE2\x99\xA8",227,"♨","<e2><99><a8>"
"black universal recycling symbol","U+267B","\xE2\x99\xBB",228,"♻","<e2><99><bb>"
"wheelchair symbol","U+267F","\xE2\x99\xBF",229,"♿","<e2><99><bf>"
"anchor","U+2693","\xE2\x9A\x93",230,"⚓","<e2><9a><93>"
"warning sign","U+26A0","\xE2\x9A\xA0",231,"⚠","<e2><9a><a0>"
"high voltage sign","U+26A1","\xE2\x9A\xA1",232,"⚡","<e2><9a><a1>"
"medium white circle","U+26AA","\xE2\x9A\xAA",233,"⚪","<e2><9a><aa>"
"medium black circle","U+26AB","\xE2\x9A\xAB",234,"⚫","<e2><9a><ab>"
"soccer ball","U+26BD","\xE2\x9A\xBD",235,"⚽","<e2><9a><bd>"
"baseball","U+26BE","\xE2\x9A\xBE",236,"⚾","<e2><9a><be>"
"snowman without snow","U+26C4","\xE2\x9B\x84",237,"⛄","<e2><9b><84>"
"sun behind cloud","U+26C5","\xE2\x9B\x85",238,"⛅","<e2><9b><85>"
"ophiuchus","U+26CE","\xE2\x9B\x8E",239,"⛎","<e2><9b><8e>"
"no entry","U+26D4","\xE2\x9B\x94",240,"⛔","<e2><9b><94>"
"church","U+26EA","\xE2\x9B\xAA",241,"⛪","<e2><9b><aa>"
"fountain","U+26F2","\xE2\x9B\xB2",242,"⛲","<e2><9b><b2>"
"flag in hole","U+26F3","\xE2\x9B\xB3",243,"⛳","<e2><9b><b3>"
"sailboat","U+26F5","\xE2\x9B\xB5",244,"⛵","<e2><9b><b5>"
"tent","U+26FA","\xE2\x9B\xBA",245,"⛺","<e2><9b><ba>"
"fuel pump","U+26FD","\xE2\x9B\xBD",246,"⛽","<e2><9b><bd>"
"arrow pointing rightwards then curving upwards","U+2934","\xE2\xA4\xB4",247,"⤴","<e2><a4><b4>"
"arrow pointing rightwards then curving downwards","U+2935","\xE2\xA4\xB5",248,"⤵","<e2><a4><b5>"
"leftwards black arrow","U+2B05","\xE2\xAC\x85",249,"⬅","<e2><ac><85>"
"upwards black arrow","U+2B06","\xE2\xAC\x86",250,"⬆","<e2><ac><86>"
"downwards black arrow","U+2B07","\xE2\xAC\x87",251,"⬇","<e2><ac><87>"
